Index,VTI,SHV,GLD,TLT,AGG
2001-05-31, 42.15 ,,,,
2001-06-01,42.4285,,,,
2001-06-04,42.6047,,,,
2001-06-05,43.2508,,,,
2001-06-06,42.8947,,,,
2001-06-07,43.0966,,,,
2001-06-08,42.7295,,,,
2001-06-11,42.2926,,,,
2001-06-12,42.3147,,,,
2001-06-13,41.9365,,,,
2001-06-14,40.971,,,,
2001-06-15,40.8719,,,,
2001-06-18,40.6112,,,,
2001-06-19,40.725,,,,
2001-06-20,41.1545,,,,
2001-06-21,41.485,,,,
2001-06-22,41.2206,,,,
2001-06-25,40.9556,,,,
2001-06-26,40.8489,,,,
2001-06-27,40.8526,,,,
2001-06-28,41.3531,,,,
2001-06-29,41.5887,,,,
2001-07-02,41.6991,,,,
2001-07-03,41.677,,,,
2001-07-05,41.2022,,,,
2001-07-06,40.1165,,,,
2001-07-09,40.3741,,,,
2001-07-10,39.8405,,,,
2001-07-11,39.892,,,,
2001-07-12,40.8379,,,,
2001-07-13,41.0329,,,,
2001-07-16,40.5582,,,,
2001-07-17,41.0366,,,,
2001-07-18,40.6097,,,,
2001-07-19,40.8379,,,,
2001-07-20,40.8415,,,,
2001-07-23,40.1349,,,,
2001-07-24,39.5792,,,,
2001-07-25,40.0797,,,,
2001-07-26,40.5913,,,,
2001-07-27,40.6612,,,,
2001-07-30,40.6281,,,,
2001-07-31,40.7937,,,,
2001-08-01,40.9704,,,,
2001-08-02,41.0992,,,,
2001-08-03,40.9556,,,,
2001-08-06,40.4845,,,,
2001-08-07,40.5582,,,,
2001-08-08,39.8221,,,,
2001-08-09,39.9398,,,,
2001-08-10,40.1018,,,,
2001-08-13,40.1717,,,,
2001-08-14,40.0834,,,,
2001-08-15,39.7374,,,,
2001-08-16,39.8589,,,,
2001-08-17,39.2516,,,,
2001-08-20,39.5276,,,,
2001-08-21,38.9756,,,,
2001-08-22,39.3363,,,,
2001-08-23,39.2847,,,,
2001-08-24,40.0024,,,,
2001-08-27,39.8589,,,,
2001-08-28,39.1927,,,,
2001-08-29,38.8247,,,,
2001-08-30,38.2432,,,,
2001-08-31,38.4051,,,,
2001-09-04,38.2027,,,,
2001-09-05,38.1475,,,,
2001-09-06,37.3746,,,,
2001-09-07,36.6201,,,,
2001-09-10,36.8961,,,,
2001-09-17,35.1443,,,,
2001-09-18,34.6953,,,,
2001-09-19,34.2278,,,,
2001-09-20,33.1237,,,,
2001-09-21,32.5901,,,,
2001-09-24,33.7554,,,,
2001-09-25,34.073,,,,
2001-09-26,33.8108,,,,
2001-09-27,34.1469,,,,
2001-09-28,35.0703,,,,
2001-10-01,34.7526,,,,
2001-10-02,35.1811,,,,
2001-10-03,35.8016,,,,
2001-10-04,35.9198,,,,
2001-10-05,35.9383,,,,
2001-10-08,35.6982,,,,
2001-10-09,35.4618,,,,
2001-10-10,36.3039,,,,
2001-10-11,36.9688,,,,
2001-10-12,36.6881,,,,
2001-10-15,36.7398,,,,
2001-10-16,36.9466,,,,
2001-10-17,36.1968,,,,
2001-10-18,36.0084,,,,
2001-10-19,36.1082,,,,
2001-10-22,36.6474,,,,
2001-10-23,36.5108,,,,
2001-10-24,36.4923,,,,
2001-10-25,37.0094,,,,
2001-10-26,37.2088,,,,
2001-10-29,36.3446,,,,
2001-10-30,35.7462,,,,
2001-10-31,35.7905,,,,
2001-11-01,36.544,,,,
2001-11-02,36.6031,,,,
2001-11-05,37.1276,,,,
2001-11-06,37.6668,,,,
2001-11-07,37.6004,,,,
2001-11-08,37.6225,,,,
2001-11-09,37.7038,,,,
2001-11-12,37.6373,,,,
2001-11-13,38.3021,,,,
2001-11-14,38.5385,,,,
2001-11-15,38.4166,,,,
2001-11-16,38.4019,,,,
2001-11-19,38.7934,,,,
2001-11-20,38.5164,,,,
2001-11-21,38.28,,,,
2001-11-23,38.7491,,,,
2001-11-26,38.9854,,,,
2001-11-27,38.8783,,,,
2001-11-28,38.0584,,,,
2001-11-29,38.6419,,,,
2001-11-30,38.5164,,,,
2001-12-03,38.2504,,,,
2001-12-04,38.7527,,,,
2001-12-05,39.7057,,,,
2001-12-06,39.6318,,,,
2001-12-07,39.5469,,,,
2001-12-10,38.8008,,,,
2001-12-11,38.701,,,,
2001-12-12,38.6789,,,,
2001-12-13,38.1027,,,,
2001-12-14,38.2763,,,,
2001-12-17,38.557,,,,
2001-12-18,38.9559,,,,
2001-12-19,39.1332,,,,
2001-12-20,38.7823,,,,
2001-12-21,38.9891,,,,
2001-12-24,39.0755,,,,
2001-12-26,39.2683,,,,
2001-12-27,39.4944,,,,
2001-12-28,39.6131,,,,
2001-12-31,39.0718,,,,
2002-01-02,39.3906,,,,
2002-01-03,39.8133,,,,
2002-01-04,40.0765,,,,
2002-01-07,39.817,,,,
2002-01-08,39.7021,,,,
2002-01-09,39.5686,,,,
2002-01-10,39.5389,,,,
2002-01-11,39.209,,,,
2002-01-14,38.9013,,,,
2002-01-15,39.1682,,,,
2002-01-16,38.5194,,,,
2002-01-17,38.9198,,,,
2002-01-18,38.5602,,,,
2002-01-22,38.2599,,,,
2002-01-23,38.5899,,,,
2002-01-24,38.7604,,,,
2002-01-25,38.8234,,,,
2002-01-28,38.7938,,,,
2002-01-29,37.8298,,,,
2002-01-30,38.1858,,,,
2002-01-31,38.7307,,,,
2002-02-01,38.5046,,,,
2002-02-04,37.574,,,,
2002-02-05,37.4406,,,,
2002-02-06,37.1922,,,,
2002-02-07,37.0365,,,,
2002-02-08,37.5666,,,,
2002-02-11,38.0857,,,,
2002-02-12,37.993,,,,
2002-02-13,38.3452,,,,
2002-02-14,38.2933,,,,
2002-02-15,37.878,,,,
2002-02-19,37.1736,,,,
2002-02-20,37.6371,,,,
2002-02-21,37.0365,,,,
2002-02-22,37.3071,,,,
2002-02-25,37.9707,,,,
2002-02-26,38.0968,,,,
2002-02-27,37.9633,,,,
2002-02-28,38.0523,,,,
2002-03-01,38.8123,,,,
2002-03-04,39.5389,,,,
2002-03-05,39.3165,,,,
2002-03-06,39.8874,,,,
2002-03-07,39.7206,,,,
2002-03-08,40.0172,,,,
2002-03-11,40.1469,,,,
2002-03-12,40.0691,,,,
2002-03-13,39.6946,,,,
2002-03-14,39.6613,,,,
2002-03-15,40.0098,,,,
2002-03-18,40.0394,,,,
2002-03-19,40.2248,,,,
2002-03-20,39.576,,,,
2002-03-21,39.7503,,,,
2002-03-22,39.5945,,,,
2002-03-25,38.9997,,,,
2002-03-26,39.2711,,,,
2002-03-27,39.5053,,,,
2002-03-28,39.4496,,,,
2002-04-01,39.4756,,,,
2002-04-02,39.2191,,,,
2002-04-03,38.7915,,,,
2002-04-04,38.9105,,,,
2002-04-05,38.8473,,,,
2002-04-08,38.9439,,,,
2002-04-09,38.7395,,,,
2002-04-10,39.1967,,,,
2002-04-11,38.3119,,,,
2002-04-12,38.613,,,,
2002-04-15,38.3825,,,,
2002-04-16,39.1856,,,,
2002-04-17,39.1261,,,,
2002-04-18,39.0889,,,,
2002-04-19,39.1038,,,,
2002-04-22,38.5498,,,,
2002-04-23,38.3454,,,,
2002-04-24,38.0331,,,,
2002-04-25,38.0963,,,,
2002-04-26,37.3862,,,,
2002-04-29,37.2152,,,,
2002-04-30,37.691,,,,
2002-05-01,38.0033,,,,
2002-05-02,37.8212,,,,
2002-05-03,37.4717,,,,
2002-05-06,36.7653,,,,
2002-05-07,36.598,,,,
2002-05-08,37.955,,,,
2002-05-09,37.4494,,,,
2002-05-10,36.8062,,,,
2002-05-13,37.5014,,,,
2002-05-14,38.3528,,,,
2002-05-15,38.1409,,,,
2002-05-16,38.2933,,,,
2002-05-17,38.5647,,,,
2002-05-20,38.0517,,,,
2002-05-21,37.5981,,,,
2002-05-22,37.7542,,,,
2002-05-23,38.1558,,,,
2002-05-24,37.7022,,,,
2002-05-28,37.4717,,,,
2002-05-29,37.2635,,,,
2002-05-30,37.152,,,,
2002-05-31,37.1594,,,,
2002-06-03,36.2485,,,,
2002-06-04,36.1928,,,,
2002-06-05,36.5906,,,,
2002-06-06,35.9028,,,,
2002-06-07,35.9548,,,,
2002-06-10,36.018,,,,
2002-06-11,35.4083,,,,
2002-06-12,35.583,,,,
2002-06-13,35.2075,,,,
2002-06-14,35.1258,,,,
2002-06-17,36.137,,,,
2002-06-18,36.1742,,,,
2002-06-19,35.6128,,,,
2002-06-20,35.1592,,,,
2002-06-21,34.5792,,,,
2002-06-24,34.6985,,,,
2002-06-25,34.061,,,,
2002-06-26,33.9641,,,,
2002-06-27,34.5345,,,,
2002-06-28,34.5979,,,,
2002-07-01,33.7329,,,,
2002-07-02,33.0395,,,,
2002-07-03,33.2035,,,,
2002-07-05,34.445,,,,
2002-07-08,33.9193,,,,
2002-07-09,33.0805,,,,
2002-07-10,32.0701,,,,
2002-07-11,32.305,,,,
2002-07-12,32.2305,,,,
2002-07-15,31.9136,,,,
2002-07-16,31.5109,,,,
2002-07-17,31.6787,,,,
2002-07-18,30.7466,,,,
2002-07-19,29.7139,,,,
2002-07-22,28.8639,,,,
2002-07-23,28.0362,,,,
2002-07-24,29.6766,,,,
2002-07-25,29.4268,,,,
2002-07-26,29.8258,,,46.0897,
2002-07-29,31.4811,,,45.4808,
2002-07-30,31.6377,,,45.5367,
2002-07-31,31.7122,,,46.1009,
2002-08-01,30.8995,,,46.3634,
2002-08-02,30.1799,,,46.8382,
2002-08-05,29.1733,,,47.0449,
2002-08-06,30.124,,,46.6427,
2002-08-07,30.5975,,,46.7544,
2002-08-08,31.5594,,,46.7544,
2002-08-09,31.6153,,,47.4136,
2002-08-12,31.5407,,,47.704,
2002-08-13,30.851,,,48.2906,
2002-08-14,32.0254,,,48.4749,
2002-08-15,32.3609,,,48.0504,
2002-08-16,32.3423,,,47.5141,
2002-08-19,33.1215,,,47.6593,
2002-08-20,32.6965,,,48.19,
2002-08-21,33.1774,,,47.9331,
2002-08-22,33.5391,,,47.5141,
2002-08-23,32.8643,,,47.9833,
2002-08-26,33.088,,,48.028,
2002-08-27,32.5511,,,47.7264,
2002-08-28,32.0329,,,47.9666,
2002-08-29,32.0627,,,48.352,
2002-08-30,31.9546,,,48.6425,
2002-09-03,30.7093,,,49.3901,
2002-09-04,31.2201,,,49.3788,
2002-09-05,30.8324,,,49.6481,
2002-09-06,31.3916,,,49.0647,
2002-09-09,31.6377,,,48.9918,
2002-09-10,31.8576,,,49.2274,
2002-09-11,31.8204,,,48.9693,
2002-09-12,31.0934,,,49.3508,
2002-09-13,31.1679,,,49.8052,
2002-09-16,31.2052,,,49.8893,
2002-09-17,30.6385,,,49.9847,
2002-09-18,30.4372,,,49.9959,
2002-09-19,29.6543,,,50.3325,
2002-09-20,29.6543,,,50.0969,
2002-09-23,29.3374,,,50.5457,
2002-09-24,28.931,,,50.8711,
2002-09-25,29.5051,,,50.254,
2002-09-26,29.9973,,,50.1362,
2002-09-27,29.0838,,,50.512,
2002-09-30,28.7246,,,50.714,
2002-10-01,29.8024,,,50.0848,
2002-10-02,29.0988,,,50.372,
2002-10-03,28.7807,,,50.2481,
2002-10-04,28.1894,,,50.4058,
2002-10-07,27.5831,,,50.4903,
2002-10-08,27.976,,,50.5072,
2002-10-09,27.2462,,,50.7662,
2002-10-10,28.0696,,,50.3664,
2002-10-11,29.2785,,,49.7695,
2002-10-14,29.4356,,,49.6963,
2002-10-15,30.7456,,,48.5193,
2002-10-16,30.0457,,,48.5418,
2002-10-17,30.7044,,,47.9506,
2002-10-18,30.8279,,,48.0744,
2002-10-21,31.3818,,,47.6071,
2002-10-22,30.9888,,,47.4719,
2002-10-23,31.1947,,,47.4888,
2002-10-24,30.783,,,47.9055,
2002-10-25,31.3781,,,48.0801,
2002-10-28,31.0412,,,48.0125,
2002-10-29,30.8017,,,48.6376,
2002-10-30,31.03,,,48.6207,
2002-10-31,30.8766,,,48.8403,
2002-11-01,31.5128,,,48.636,
2002-11-04,31.7149,,,48.4211,
2002-11-05,31.9058,,,48.2344,
2002-11-06,32.3362,,,48.4267,
2002-11-07,31.5876,,,49.6259,
2002-11-08,31.2134,,,50.0276,
2002-11-11,30.6707,,,50.2991,
2002-11-12,30.8167,,,50.0106,
2002-11-13,30.8766,,,50.1181,
2002-11-14,31.6138,,,49.0772,
2002-11-15,31.8122,,,49.2752,
2002-11-18,31.5203,,,49.4958,
